
## MOBILE APP API CALL SIMULATOR START ] ###############################################
   SERVER_IP : 127.0.0.1 --> Please Check this! if wrong, please change shell script
########################################################################################
API SIMULATOR START [Mon Jul 13 11:05:07 KST 2020]
	API SIMULATOR PARAMETER = 10000, 10, 200
Information) Sucess : 600 - Time : Mon Jul 13 11:05:10 KST 2020
Information) Sucess : 1200 - Time : Mon Jul 13 11:05:13 KST 2020
Information) Sucess : 1800 - Time : Mon Jul 13 11:05:16 KST 2020
Information) Sucess : 2400 - Time : Mon Jul 13 11:05:19 KST 2020
Information) Sucess : 3000 - Time : Mon Jul 13 11:05:22 KST 2020
Information) Sucess : 3600 - Time : Mon Jul 13 11:05:25 KST 2020
Information) Sucess : 4200 - Time : Mon Jul 13 11:05:28 KST 2020
Information) Sucess : 4800 - Time : Mon Jul 13 11:05:31 KST 2020
Information) Sucess : 5400 - Time : Mon Jul 13 11:05:34 KST 2020
Information) Sucess : 6000 - Time : Mon Jul 13 11:05:37 KST 2020
Information) Sucess : 6600 - Time : Mon Jul 13 11:05:40 KST 2020
Information) Sucess : 7200 - Time : Mon Jul 13 11:05:43 KST 2020
Information) Sucess : 7800 - Time : Mon Jul 13 11:05:46 KST 2020
Information) Sucess : 8400 - Time : Mon Jul 13 11:05:49 KST 2020
Information) Sucess : 9000 - Time : Mon Jul 13 11:05:52 KST 2020
Information) Sucess : 9600 - Time : Mon Jul 13 11:05:55 KST 2020
Information) Sucess : 10200 - Time : Mon Jul 13 11:05:58 KST 2020
Information) Sucess : 10800 - Time : Mon Jul 13 11:06:01 KST 2020
Information) Sucess : 11400 - Time : Mon Jul 13 11:06:04 KST 2020
Information) Sucess : 12000 - Time : Mon Jul 13 11:06:07 KST 2020
Information) Sucess : 12600 - Time : Mon Jul 13 11:06:10 KST 2020
Information) Sucess : 13200 - Time : Mon Jul 13 11:06:13 KST 2020
Information) Sucess : 13800 - Time : Mon Jul 13 11:06:16 KST 2020
Information) Sucess : 14400 - Time : Mon Jul 13 11:06:19 KST 2020
Information) Sucess : 15000 - Time : Mon Jul 13 11:06:22 KST 2020
Information) Sucess : 15600 - Time : Mon Jul 13 11:06:25 KST 2020
Information) Sucess : 16200 - Time : Mon Jul 13 11:06:28 KST 2020
Information) Sucess : 16800 - Time : Mon Jul 13 11:06:31 KST 2020
Information) Sucess : 17400 - Time : Mon Jul 13 11:06:34 KST 2020
Information) Sucess : 18000 - Time : Mon Jul 13 11:06:37 KST 2020
Information) Sucess : 18600 - Time : Mon Jul 13 11:06:40 KST 2020
Information) Sucess : 19200 - Time : Mon Jul 13 11:06:43 KST 2020
Information) Sucess : 19800 - Time : Mon Jul 13 11:06:46 KST 2020
