***************************************************************************************************
** [ INFO ] ***************************************************************************************
 START_DATE  : 2021-06-29 15:00:00
 END_DATE    : 2021-06-30 14:00:00
***************************************************************************************************
***************************************************************************************************
----------------------------------------------------------------------------------------------------
 [ TDATA STATISTICS ] 
####################################################################################################
## 1) NRF API Request Statistics (EMS DB)
SUM(NRF_REG_COUNT)	SUM(NRF_STOP_COUNT)
3450	0
####################################################################################################
## 2-1) Zone Noti. Input/Out Statistics (List) - Traffic Count (EMS DB)
SYSTEM_ID	MSG_TYPE	TOT_RECV_COUNT	SUCC_RECV_COUNT	FAIL_RECV_COUNT	REG_DATETIME
UPM51	01	5875	5875	0	2021-06-29 15:00:34
UPM51	01	6140	6140	0	2021-06-29 15:01:35
UPM51	01	5787	5787	0	2021-06-29 15:02:35
UPM51	01	6110	6110	0	2021-06-29 15:03:35
UPM51	01	5922	5922	0	2021-06-29 15:04:35
UPM51	01	5963	5963	0	2021-06-29 15:05:35
UPM51	01	5542	5542	0	2021-06-29 15:06:34
UPM51	01	6401	6401	0	2021-06-29 15:07:35
UPM51	01	5955	5955	0	2021-06-29 15:08:35
UPM51	01	5954	5954	0	2021-06-29 15:09:35
UPM51	01	5946	5946	0	2021-06-29 15:10:35
UPM51	01	5920	5920	0	2021-06-29 15:11:35
UPM51	01	5851	5851	0	2021-06-29 15:12:35
UPM51	01	6088	6088	0	2021-06-29 15:13:36
UPM51	01	5863	5863	0	2021-06-29 15:14:35
UPM51	01	6066	6066	0	2021-06-29 15:15:35
UPM51	01	5951	5951	0	2021-06-29 15:16:35
UPM51	01	5957	5957	0	2021-06-29 15:17:35
UPM51	01	5903	5903	0	2021-06-29 15:18:35
UPM51	01	6015	6015	0	2021-06-29 15:19:35
UPM51	01	5954	5954	0	2021-06-29 15:20:35
UPM51	01	5923	5923	0	2021-06-29 15:21:35
UPM51	01	5438	5438	0	2021-06-29 15:22:35
UPM51	01	6460	6460	0	2021-06-29 15:23:36
UPM51	01	5990	5990	0	2021-06-29 15:24:35
UPM51	01	5774	5774	0	2021-06-29 15:25:35
UPM51	01	6112	6112	0	2021-06-29 15:26:35
UPM51	01	5828	5828	0	2021-06-29 15:27:35
UPM51	01	5982	5982	0	2021-06-29 15:28:35
UPM51	01	6036	6036	0	2021-06-29 15:29:35
UPM51	01	6010	6010	0	2021-06-29 15:30:35
UPM51	01	5714	5714	0	2021-06-29 15:31:35
UPM51	01	6035	6035	0	2021-06-29 15:32:35
UPM51	01	5839	5839	0	2021-06-29 15:33:35
UPM51	01	6132	6132	0	2021-06-29 15:34:35
UPM51	01	5974	5974	0	2021-06-29 15:35:35
UPM51	01	6041	6041	0	2021-06-29 15:36:35
UPM51	01	5744	5744	0	2021-06-29 15:37:35
UPM51	01	5882	5882	0	2021-06-29 15:38:35
UPM51	01	6055	6055	0	2021-06-29 15:39:35
UPM51	01	6018	6018	0	2021-06-29 15:40:35
UPM51	01	6073	6073	0	2021-06-29 15:41:35
UPM51	01	5820	5820	0	2021-06-29 15:42:35
UPM51	01	5791	5791	0	2021-06-29 15:43:35
UPM51	01	6252	6252	0	2021-06-29 15:44:35
UPM51	01	5969	5969	0	2021-06-29 15:45:35
UPM51	01	5946	5946	0	2021-06-29 15:46:35
UPM51	01	5937	5937	0	2021-06-29 15:47:35
UPM51	01	5796	5796	0	2021-06-29 15:48:35
UPM51	01	6145	6145	0	2021-06-29 15:49:35
UPM51	01	5952	5952	0	2021-06-29 15:50:35
UPM51	01	5946	5946	0	2021-06-29 15:51:35
UPM51	01	5921	5921	0	2021-06-29 15:52:35
UPM51	01	5884	5884	0	2021-06-29 15:53:35
UPM51	01	5738	5738	0	2021-06-29 15:54:35
UPM51	01	6258	6258	0	2021-06-29 15:55:35
